track_id,track_name,artist_name,valence,energy,danceability,tempo,loudness,key,mode,sentiment_score,popularity,genre,duration_ms,explicit,release_date
track_058,Ocean Waves,Morning Glory,0.356,0.987,0.606,93.2,-18.0,5,1,-0.152,61,Hip-Hop,196125,0,2017-12-12
track_059,Jazz Blues,Chill Vibes,0.842,0.052,0.018,157.6,-0.1,5,1,0.546,78,Hip-Hop,251189,0,2021-05-06
track_060,City Lights,Night Riders,0.171,0.669,0.929,137.9,-8.6,2,0,-0.338,67,Jazz,296659,0,2019-10-26
track_061,Sunshine Days,Angry Rockers,0.115,0.611,0.289,141.4,-16.9,3,0,-0.48,49,R&B,185545,0,2020-06-27
track_062,Party Time,Wild Fire,0.549,0.202,0.685,72.3,-17.2,8,0,-0.23,37,Country,287330,1,2022-09-29
track_063,Electric Storm,The Happy Band,0.93,0.831,0.965,77.4,-5.4,8,1,0.309,39,R&B,163925,1,2020-09-22
track_064,Heartbreak,Night Riders,0.782,0.828,0.751,171.9,-3.5,4,0,0.341,61,Electronic,268056,0,2022-11-21
track_065,Party Time,The Happy Band,0.392,0.817,0.439,112.8,-10.7,5,0,0.149,24,Pop,285088,0,2024-06-06
track_066,Rock Star,Chill Vibes,0.532,0.067,0.229,136.0,-11.4,2,0,0.138,14,Country,191324,0,2020-03-26
track_067,Ocean Waves,Angry Rockers,0.741,0.573,0.998,165.3,-5.9,10,0,0.286,65,Rock,222916,0,2020-09-12
track_068,Mountain High,Chill Vibes,0.342,0.821,0.111,178.5,-17.5,7,0,0.178,75,Classical,140609,0,2025-07-19
track_069,Winter Nights,Peaceful Sounds,0.598,0.566,0.716,143.9,-3.5,9,1,0.05,46,Rock,196077,0,2019-02-12
track_070,Chill Vibes,Chill Vibes,0.912,0.139,0.101,95.8,-5.5,10,1,0.261,4,R&B,173028,1,2025-06-17
track_071,Calm Waters,The Happy Band,0.153,0.576,0.607,119.4,-5.3,7,0,-0.245,45,Classical,287316,1,2021-04-20
track_072,Dancing Queen,Night Riders,0.186,0.837,0.332,103.6,-15.5,4,0,-0.767,51,Pop,217945,0,2024-03-26
track_073,Morning Coffee,Evening Stars,0.415,0.864,0.923,125.2,-10.4,10,0,0.052,50,Hip-Hop,187526,1,2023-11-12
track_074,Energy Boost,Chill Vibes,0.034,0.311,0.78,98.9,-15.6,1,0,-0.491,48,Electronic,172853,1,2018-11-24
track_075,Energy Boost,Wild Fire,0.535,0.184,0.3,103.4,-12.1,2,0,0.18,18,Rock,284608,1,2021-12-27
track_076,Calm Waters,Peaceful Sounds,0.453,0.524,0.441,116.1,-8.8,3,0,-0.099,2,R&B,223177,1,2020-08-07
track_077,Electric Storm,Wild Fire,0.527,0.801,0.979,177.6,-2.7,7,0,0.031,86,Jazz,183230,0,2024-11-28
track_078,Heartbreak,Wild Fire,0.104,0.8,0.179,151.4,-15.2,1,0,-0.654,45,Jazz,132175,1,2021-08-20
track_079,Happy Days,Energy Crew,0.668,0.205,0.293,185.5,-19.7,6,0,-0.175,35,Classical,282491,1,2024-05-26
track_080,Mountain High,Angry Rockers,0.911,0.625,0.336,175.5,-12.7,6,1,0.698,93,Pop,250273,0,2017-08-17
track_081,Energy Boost,Sad Songs Inc,0.22,0.975,0.78,76.0,-8.7,10,1,-0.517,80,Hip-Hop,155367,1,2025-02-27
track_082,City Lights,Sad Songs Inc,0.403,0.218,0.645,119.0,-17.4,1,0,0.11,84,Rock,289315,0,2017-08-23
track_083,City Lights,Morning Glory,0.067,0.405,0.497,160.8,-17.9,5,0,-0.642,39,Rock,297900,0,2017-12-14
track_084,Sunshine Days,Energy Crew,0.175,0.914,0.419,113.6,-9.6,1,1,-0.225,52,Electronic,173276,0,2022-03-12
track_085,Angry Storm,Romantic Duo,0.437,0.916,0.722,145.5,-1.0,6,0,0.272,55,Pop,179129,1,2023-10-02
track_086,Romantic Evening,Sweet Dreams,0.262,0.595,0.051,129.5,-8.1,1,0,-0.337,72,R&B,288976,0,2022-05-30
track_087,Pop Sensation,Energy Crew,0.705,0.598,0.46,70.6,-18.4,2,1,0.203,43,Jazz,189626,0,2017-07-31
track_088,Energy Boost,Peaceful Sounds,0.79,0.691,0.521,72.1,-0.8,2,1,0.583,79,Hip-Hop,266968,1,2022-10-05
track_089,Romantic Evening,Angry Rockers,0.647,0.693,0.052,153.8,-19.1,6,0,-0.192,6,Hip-Hop,288270,0,2015-12-23
track_090,Morning Coffee,Night Riders,0.297,0.924,0.971,192.2,-10.5,3,0,-0.527,16,Hip-Hop,194910,1,2017-06-23
track_091,Wild Fire,The Happy Band,0.561,0.481,0.885,134.2,-11.2,6,1,0.043,3,Classical,266389,0,2016-04-23
track_092,Calm Waters,Sad Songs Inc,0.626,0.886,0.616,92.6,-19.5,9,1,-0.287,31,R&B,189346,0,2017-04-16
track_093,Rock Star,Sweet Dreams,0.009,0.053,0.089,65.3,-10.4,7,1,-0.21,83,Classical,261888,1,2020-03-11
track_094,Dancing Queen,The Happy Band,0.467,0.297,0.853,160.2,-8.2,0,0,0.293,87,Electronic,163001,0,2020-01-13
track_095,Ocean Waves,Morning Glory,0.259,0.589,0.982,183.8,-8.0,1,0,-0.354,71,Electronic,289269,0,2016-09-24
track_096,Mountain High,Angry Rockers,0.513,0.231,0.177,90.9,-16.3,2,1,-0.09,46,Country,166600,0,2022-12-13
track_097,City Lights,Wild Fire,0.995,0.174,0.396,166.2,-6.1,7,0,0.689,88,Pop,222979,1,2022-01-10
track_098,Dancing Queen,Wild Fire,0.091,0.877,0.266,78.1,-2.2,8,1,-0.283,24,Classical,170106,1,2023-02-11
track_099,Evening Wine,Romantic Duo,0.253,0.005,0.696,66.8,-9.3,4,1,-0.734,76,Pop,245991,0,2019-08-03
